Last Month Remain,2432.446622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Sent,"66,680.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra,342.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From/to,"9,429.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spent,66383.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/
Fees,"2,871.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remaining,9630.130434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID Account,Name,Status,Currency,Threshold,GMT,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Raze 1 - @invisible_911,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
1418435262685985,S - 2506 3,Live,USD,,+4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649058851515419,,Live,USD,,+3,607.15,,,,,,,,,,,100.67,69.22,75.4,43.32,84.63,233.91,,,,,,,,,,,,,,,
1662425794457349,,Live,USD,,+3,402.61,,,,,,,,,,,67.62,,45.2,56.48,81.54,151.77,,,,,,,,,,,,,,,
1291412129233817,S - Raze1 2,Live,USD,,+3,264.05,,,,,,,97.38,65.23,,96.83,,,,4.61,,,,,,,,,,,,,,,,,
1290871768918780,S - Raze1 5,Live,USD,,+1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288997529215954,,Live,USD,,+1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817267945145960,,Live,USD,,+1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4834493953272983,,Live,USD,,+1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685305195934902,,Live,USD,,+1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793485658720170,,Live,USD,,+1,46.91,,,,,,,,,,,,,46.91,,,,,,,,,,,,,,,,,,
Raze 2 - @tgrunt_jay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105191510246914,,Threshold,,342.50$,,3756.23,438.72,446.7,1281,640.54,229.72,178.98,330.18,210.39,,,,,,,,,,,,,,,,,,,,,,,
375703641034825,,Live,,,,1681.22,,,,,,,,,,,,,139.99,396.1,603.12,542.01,,,,,,,,,,,,,,,
4871782169542641,,Live,,,,8039.03,260.42,453.4,1591.18,1274.99,1195.99,554.04,655.17,656.62,309.64,182.61,197.28,135.03,54.66,284,154.76,79.24,,,,,,,,,,,,,,,
627152219084492,,Live,USD,,+1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2071469659855425,,Live,USD,,+1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645364971463426,,Live,USD,,+1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24700743089612089,,Live,USD,,+1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779835121355685,,Live,USD,,+3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000014510053123,,Live,USD,,+3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465029164633843,,Live,USD,,+3,6.96,,,,,,,,,,,,,,6.96,,,,,,,,,,,,,,,,,
1498328544613658,,Live,USD,,+3,44.98,,,,,,,,,,,,,,44.98,,,,,,,,,,,,,,,,,
1433195927739002,,Live,USD,,+3,0.85,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,
744229177994247,,Live,USD,,+3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781772531398362,,Live,USD,,+3,696.47,,,,,,30.96,,,443.47,1.16,,,251.84,,,,,,,,,,,,,,,,,,
1413272940801229,,Live,USD,,+3,2716.24,,,,,0.02,95.72,,520.25,1088.5,252.36,303.91,418.35,132.87,,,,,,,,,,,,,,,,,,
1059716852920998,,Live,USD,,+3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554913599019512,,Live,USD,,+3,2266.89,,,,,,,,583.29,1015.61,154.37,202.8,281.34,29.48,,,,,,,,,,,,,,,,,,
1103679238183843,,Live,USD,,+3,149.88,2262.07,836.98,,,,,,,,62.36,42.03,45.49,,,,,,,,,,,,,,,,,,,
4057202274557093,,Live,USD,,+3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raze 3 - @raze_traff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783630880849801,,Die,,,,205.37,,,,68.83,136.54,,,,,,,,,,,,,,,,,,,,,,,,,,
713063791887416,,Die,,,,382.74,,,,127.26,181.37,74.11,,,,,,,,,,,,,,,,,,,,,,,,,
1037517394981069,,Live,,,,712.06,,,,142.85,117.4,79.48,94.93,13.42,,171.81,,92.17,,,,,,,,,,,,,,,,,,,
,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066546387168098,,Die,,,,178.49,,,,,,102.92,40.88,34.69,,,,,,,,,,,,,,,,,,,,,,,
696603416529620,,Die,,,,69.67,,,,28.78,40.89,,,,,,,,,,,,,,,,,,,,,,,,,,
1063403898531446,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360150375055448,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157882409588234,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779670868313668,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560255438341749,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393938485768616,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459587265125108,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306853374252321,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248747170687101,,Live,,,,765.05,,,,39.75,63.1,112.83,69.7,92.9,,187.9,,198.87,,,,,,,,,,,,,,,,,,,
1041795126600711,,Die,,,,777.46,,,,461.33,261.63,54.5,,,,,,,,,,,,,,,,,,,,,,,,,
1596999314612518,,Live,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549807026181131,,Live,,,,430.78,,,,,,,,102.38,,201.55,,126.85,,,,,,,,,,,,,,,,,,,
1549520619753984,,Die,,,,83.58,,,,,,,83.58,,,,,,,,,,,,,,,,,,,,,,,,
1549094169589300,,Die,,,,200.5,,,,,,,70.34,82.98,,47.18,,,,,,,,,,,,,,,,,,,,,
