name_acc,id_acc,currency_acc,spend,date1,date2,day,note,,,,,,,
VI59,286735751057852,USD,"188,90",17-10-2025,17-10-2025,17,,N17,,,,,,
lele119,666240538789477,USD,"83,51",17-10-2025,17-10-2025,17,,,,,,,,
VI67,747168356871672,USD,"188,68",17-10-2025,17-10-2025,17,,,,,,,,
lele119,1767817113644240,USD,"38,66",17-10-2025,17-10-2025,17,,,,,,,,
lele119,732655795633758,USD,"58,74",17-10-2025,17-10-2025,17,,,,,,,,
lele119,2166069077059741,USD,"74,02",17-10-2025,17-10-2025,17,,,,,,,,
lele119,7554757801225473,USD,"787,73",17-10-2025,17-10-2025,17,,,,,,,,
lele119,919071429599786,USD,"47,66",17-10-2025,17-10-2025,17,,,,,,,,
VI38,906947064302281,USD,"99,33",17-10-2025,17-10-2025,17,,,,,,,,
Spiderman 408,285248147894440,USD,"502,73",17-10-2025,17-10-2025,17,,,,,,,,
Spiderman 414,2131573163868312,USD,"1.026,06",17-10-2025,17-10-2025,17,,,,,,,,
Spiderman 528,1388296738472837,USD,"218,20",17-10-2025,17-10-2025,17,,,,,,,,
Spiderman 530,413425824346480,USD,"154,51",17-10-2025,17-10-2025,17,,,,,,,,
Spiderman 533,848503197019860,USD,"146,03",17-10-2025,17-10-2025,17,,,,,,,,
Spiderman 766,395766892973273,USD,"247,74",17-10-2025,17-10-2025,17,,,,,,,,
Spiderman 768,1471836460032218,USD,"875,43",17-10-2025,17-10-2025,17,,,,,,,,
Spiderman 777,3715985642059545,USD,"511,49",17-10-2025,17-10-2025,17,,,,,,,,
K - 15,8600111210106530,USD,"179,48",17-10-2025,17-10-2025,17,,,,,,,,
K - 1111,1222482385494713,USD,"149,87",17-10-2025,17-10-2025,17,,,,,,,,
S-1234,931183508548403,USD,"478,24",17-10-2025,17-10-2025,17,,,,,,,,
S-1234,560762090144698,USD,"4.084,44",17-10-2025,17-10-2025,17,,,,,,,,
VI56,2242621699444177,USD,"767,46",17-10-2025,17-10-2025,17,,,,,,,,
VI29,573734938894612,USD,"427,74",17-10-2025,17-10-2025,17,,,,,,,,
S - Raze2 0,464522095383654,USD,"454,77",17-10-2025,17-10-2025,17,,,,,,,,
S-2222,1016768912982222,USD,"304,50",17-10-2025,17-10-2025,17,,,,,,,,
Kyoung Tae Park,401112523288326,KRW,"3,30",17-10-2025,17-10-2025,17,,,,,,,,
S - 14614,421168811055700,USD,"263,56",17-10-2025,17-10-2025,17,,,,,,,,
S - 123,946479090994478,USD,"248,27",17-10-2025,17-10-2025,17,,,,,,,,
S - 123,670412265344008,USD,"20,22",17-10-2025,17-10-2025,17,,,,,,,,
S - 123,1291677531892285,USD,"26,85",17-10-2025,17-10-2025,17,,,,,,,,
S - 123,1688365645434303,USD,"44,59",17-10-2025,17-10-2025,17,,,,,,,,
S-1234,937488468550504,USD,"86,67",17-10-2025,17-10-2025,17,,,,,,,,
S - 129112,936176982042793,USD,"177,28",17-10-2025,17-10-2025,17,,,,,,,,
S-5645,606589652185645,USD,"2.179,81",17-10-2025,17-10-2025,17,,,,,,,,
S-1339748123830065,1339748123830065,USD,"93,65",17-10-2025,17-10-2025,17,,,,,,,,
s - 1529,620342263971710,USD,"538,51",17-10-2025,17-10-2025,17,,,,,,,,
s - 1535,1330914041489642,USD,"193,15",17-10-2025,17-10-2025,17,,,,,,,,
s - 9001,1840285256790584,USD,"5,83",17-10-2025,17-10-2025,17,,,,,,,,
s - 1550,938929435108244,USD,"598,34",17-10-2025,17-10-2025,17,,,,,,,,
1631,1041142831187504,USD,"174,66",17-10-2025,17-10-2025,17,,,,,,,,
167,958536786255021,USD,"14,44",17-10-2025,17-10-2025,17,,,,,,,,
161,1289809638981497,PHP,"58,72",17-10-2025,17-10-2025,17,,,,,,,,
1616,1353509682630154,PHP,"41,12",17-10-2025,17-10-2025,17,,,,,,,,
